YEAR;MONTH;P.ars A;P.ars N;P.bism N;P.bism A;P.cadm N;P.cadm A;P.cob N;P.cob A;P.mang N;P.mang A;P.molib N;P.molib A;P.oro N;P.oro A;P.plat N;P.plat A;P.plom N;P.plom A;P.zinc N;P.zinc A
2015;enero;0;0;0;0;0;0;111 898,5;29 100,1;0;0;1 791,4;119.3;11 726,4;20.7;308 520,2;38 175,5;25 421,5;1 395,7;113 439,0;23 793,4
2015;febrero;0;0;0;0;0;0;99 721,4;24 686,1;0;0;1 485,4;44.1;11 673,0;27.6;296 334,9;37 164,8;24 220,7;1 013,9;113 150,9;25 826,9
2015;marzo;0;0;0;0;0;0;129 076,3;35 598,1;0;0;1 826,4;284;12 326,5;44.8;335 627,7;39 306,3;27 513,8;1 335,2;117 615,3;25 085,8
2015;abril;0;0;0;0;0;0;122 506,3;29 082,0;0;0;1 631,8;148.7;11 935,9;93.8;296 357,5;38 049,5;24 878,2;1 320,0;114 323,2;27 681,1
2015;mayo;0;0;0;0;0;0;131 953,2;28 816,8;0;0;1 682,6;337.7;11 974,2;184.3;290 370,0;39 717,7;24 477,9;1 327,8;109 609,5;23 045,8
2015;junio ;0;0;0;0;0;0;145 727,2;36 015,5;0;0;1 686,3;124.7;12 179,0;193.6;347 564,2;63 329,9;24 938,3;1 318,4;116 859,6;32 690,3
2015;julio ;0;0;0;0;0;0;155 313,3;42 270,1;0;0;1 571,9;91.3;12 357,3;318.9;363 399,2;75 007,1;26 479,2;1 979,3;126 900,4;35 493,4
2015;agosto;0;0;0;0;0;0;152 454,7;37 235,3;0;0;1 272,1;93.9;13 144,5;314.4;349 892,9;66 549,1;25 810,1;1 513,9;122 645,8;27 879,8
2015;septiembre ;0;0;0;0;0;0;148 215,7;37 492,2;0;0;1 599,7;86.4;11 990,7;167.9;377 034,1;79 908,7;26 929,8;2 724,5;130 272,7;38 546,1
2015;octubre ;0;0;0;0;0;0;158 855,4;40 582,3;0;0;1 757,7;367.3;12 815,2;299;367 923,2;65 160,5;26 178,9;1 405,6;123 868,4;28 946,2
2015;noviembre ;0;0;0;0;0;0;158 645,3;38 950,2;0;0;1 980,6;146.8;12 346,6;261.1;362 256,3;60 053,0;28 338,5;2 523,2;115 754,7;28 646,2
2015;diciembre;0;0;0;0;0;0;186 450,1;42 428,6;0;0;1 867,5;174;12 353,6;405.4;406 287,8;82 306,3;30 337,8;3 124,3;116 778,4;28 247,0
2016;enero;1 610,3;0;19.2;0;0;0;157 317,4;32 750,6;88.8;0;1 982,6;191;12 261,1;217.5;334 005,3;53 864,6;25 799,6;2 310,6;102 351,4;19 189,1
2016;febrero;1 585,8;0;20;0;0;0;169 109,0;39 788,7;91.6;0;1 578,3;123.3;13 255,0;213.4;367 396,3;81 816,7;25 044,0;1 814,1;106 703,4;22 810,3
2016;marzo;1 819,0;0;19.6;0;0;0;188 051,8;42 999,5;97;0;2 295,2;359.6;13 004,1;208.3;370 020,6;78 777,1;27 073,3;2 561,3;110 563,9;25 350,1
2016;abril;1 576,7;0;21.6;0;0;0;187 983,0;36 635,5;101.1;0;2 334,9;600.1;12 563,9;168.2;347 796,2;51 035,8;25 697,7;1 740,5;96 493,1;11 531,5
2016;mayo;2 053,7;0;17.9;0;0;0;212 479,2;45 655,9;103;0;2 149,2;706.7;13 388,9;191;384 058,7;68 618,3;26 167,2;1 862,9;101 600,2;12 608,0
2016;junio ;2 052,9;0;17.8;0;0;0;207 197,2;41 379,7;94.5;0;1 948,0;358.1;12 665,7;181.6;367 455,9;75 343,2;25 088,9;2 183,3;110 988,3;27 106,0
2016;julio ;1 545,6;0;14.4;0;0;0;201 890,8;39 406,0;103.7;0;2 465,6;752.4;12 315,1;250.9;356 532,4;57 166,0;26 481,4;1 932,3;106 561,3;20 539,7
2016;agosto;1 813,1;87;11.5;1.2;0;0;201 482,1;35 104,1;97.4;10.5;2 325,0;405.1;12 735,4;248.7;382 168,6;67 111,2;27 385,4;3 344,5;116 128,0;29 685,0
2016;septiembre ;2 150,8;65.3;13.3;1.3;0;0;199 537,0;36 271,3;105;7.7;2 000,3;505.2;12 369,2;246.7;372 407,0;57 121,5;27 323,7;3 121,8;116 550,3;30 816,9
2016;octubre ;2 298,3;52.8;12.3;0.9;0;0;218 684,6;37 411,7;105.6;12.8;2 420,6;414.1;12 656,8;339;378 447,0;79 654,9;26 347,8;3 155,6;121 949,6;35 334,2
2016;noviembre ;2 243,5;75;10.1;1.5;0;0;198 854,6;29 712,3;101.2;11.8;2 008,0;209.8;12 773,2;293.3;354 026,6;56 898,4;25 623,6;3 237,7;126 706,9;41 713,8
2016;diciembre;2 502,0;65.5;9.9;1.6;0;0;211 271,7;37 332,0;105.1;8.8;2 248,7;42;13 017,5;408.1;361 022,2;57 761,9;26 389,1;2 547,4;120 485,1;32 098,7
2017;enero;1 482,5;50.5;10.9;1.7;0;0;196 316,8;35 994,4;99.6;9.3;1 915,4;12.2;12 263,1;320.9;337 199,8;63 125,9;24 885,8;3 546,0;113 954,6;32 438,9
2017;febrero;1 601,2;49.7;8.4;1.5;0;0;178 283,8;27 931,8;90.4;9.9;1 990,7;11.5;11 735,8;310.6;331 407,9;63 690,5;21 539,1;2 361,4;108 752,0;33 174,0
2017;marzo;1 844,3;67.9;7.3;1.1;0;0;189 426,5;30 787,6;103.3;7;1 790,7;66.1;11 759,1;459.3;364 751,4;52 731,5;25 908,5;3 121,6;109 873,1;33 345,3
2017;abril;1 436,0;25.2;5.7;0.4;0;0;190 902,9;34 445,8;87;4;1 729,8;150.8;11 898,4;383;367 135,1;66 963,2;26 452,1;3 808,6;122 987,9;41 178,3
2017;mayo;2 068,2;67.8;8.7;0.6;0;0;210 330,8;46 806,3;126.6;6.6;2 295,9;268.5;12 628,0;392.4;377 124,4;78 319,1;25 180,5;2 879,1;126 465,4;44 144,2
2017;junio ;1 834,2;40.5;13.1;0.7;0;0;210 246,5;43 474,1;72.6;-;3 011,4;551;12 648,5;263.8;406 693,4;76 324,5;27 430,4;4 103,1;126 077,8;45 935,2
2017;julio ;1 866,8;70.1;12.2;0.8;0;0;206 318,4;38 037,0;87.3;-;2 970,2;490.9;12 936,6;273.1;373 402,1;75 155,1;25 034,0;3 930,3;114 893,1;33 310,5
2017;agosto;1 972,4;53.4;9.2;0.6;0;0;209 193,2;37 129,7;95.2;6.1;2 551,6;299.1;13 651,3;291.4;374 746,2;57 672,0;25 308,4;2 865,8;124 282,2;45 293,0
2017;septiembre ;1 797,0;54.8;12;0.6;0;0;209 245,3;42 114,3;86.8;7.7;2 620,0;401.4;13 210,5;287.1;377 174,2;81 719,2;26 035,3;3 718,1;135 504,5;55 883,4
2017;octubre ;1 922,1;68.7;12.2;0.6;0;0;214 324,8;36 869,0;94.4;7.6;2 327,7;489.6;13 375,6;317.2;365 571,2;57 973,4;25 667,3;2 260,7;126 593,5;42 966,3
2017;noviembre ;2 196,8;71.9;12;0.7;0;0;206 342,3;33 415,1;88.9;7.7;2 315,2;498;12 670,2;271.8;355 848,2;60 906,7;27 165,7;4 083,9;138 635,3;52 701,7
2017;diciembre;2 382,0;91.5;11.3;1.1;0;0;224 652,3;40 227,3;101.2;8.4;2 622,4;728.8;13 186,9;252.8;386 933,0;67 249,8;26 176,6;2 689,2;125 053,6;37 299,6
2018;enero;1 249,2;60.4;10.3;1;0;0;188 012,9;32 715,1;1 702,0;7.5;2 220,6;357.6;11 413,1;238.9;323 682,8;53 142,3;21 821,2;2 903,1;110 130,4;37 506,9
2018;febrero;1 663,2;73.2;10.1;0.8;0;0;178 510,3;41 338,7;2 145,5;6.3;1 981,9;430.8;10 508,9;224.3;342 766,6;55 758,1;22 687,4;1 813,0;118 087,7;43 336,6
2018;marzo;1 557,0;9.6;7.7;0.1;0;0;200 452,4;39 673,5;85.7;-;2 482,3;457.2;10 883,8;279.2;347 475,2;54 355,4;22 884,4;1 652,4;118 527,3;39 236,6
2018;abril;1 694,1;23.1;12.5;-;0;0;185 603,8;36 441,7;2 177,7;-;2 100,3;323.8;11 167,2;233.3;337 590,7;55 027,6;22 294,8;1 605,0;135 267,2;51 383,5
2018;mayo;1 651,1;17.1;14.4;-;0;0;214 140,6;40 092,8;1 904,2;-;2 040,0;222.3;12 301,0;279.5;359 695,8;60 857,6;22 854,5;1 641,3;137 516,9;55 461,6
2018;junio ;2 204,7;79;14.2;1.3;0;0;206 929,2;35 881,2;1 989,5;7.4;2 244,1;226.2;12 117,7;256.1;353 034,3;61 408,4;23 421,2;2 950,3;123 931,7;50 878,2
2018;julio ;2 031,3;92.4;12.8;1.2;0;0;195 583,6;33 723,2;2 025,1;8.3;1 957,4;169.3;12 285,6;281.6;374 145,2;56 215,7;26 166,7;2 452,6;124 415,7;48 493,9
2018;agosto;1 708,0;83.9;12;1.4;0;0;207 160,5;40 854,0;2 026,8;9.8;2 585,3;430.7;12 417,4;149.2;364 227,7;61 210,3;26 533,8;2 503,6;136 514,5;53 424,6
2018;septiembre ;1 731,8;93.7;11.9;1.3;0;0;209 830,1;44 646,9;1 912,8;10.2;3 047,6;774.6;11 691,2;171.9;351 288,4;60 692,6;24 613,8;2 225,6;120 082,9;38 793,0
2018;octubre ;1 578,6;43.5;15.8;0.8;0;0;206 171,2;35 902,5;1 561,1;5.5;2 807,0;499.1;12 270,0;237.9;332 289,3;53 795,2;23 498,2;1 984,5;116 652,1;40 403,6
2018;noviembre ;1 268,5;57.4;15.4;1.1;0;0;214 252,6;37 315,4;1 584,9;8.2;2 174,1;346.9;11 482,6;227.9;332 902,7;52 709,0;23 908,2;2 588,2;112 982,5;39 409,4
2018;diciembre;2 069,9;45.7;8.2;1;0;0;230 387,7;49 171,7;1 764,1;5.7;2 393,0;389.4;11 672,4;227;341 063,2;56 968,1;28 438,2;1 834,8;120 274,4;36 337,8
2019;enero;1 350,6;82.2;6.3;1.2;0;0;201 112,2;32 611,9;458.2;7.6;2 008,6;48.8;10 389,7;233.5;275 460,0;46 454,5;23 047,2;2 085,8;101 604,1;30 298,1
2019;febrero;1 531,6;54.2;5.9;1;0;0;175 998,5;33 867,6;954.4;6.1;1 698,2;76.5;10 345,7;216.9;281 968,7;49 628,0;22 181,5;2 272,3;107 769,5;35 441,5
2019;marzo;1 416,7;64.9;6.6;1.1;0;0;209 863,8;44 234,4;1 559,8;7.9;2 011,3;116.8;11 003,7;226.5;313 745,4;58 216,4;24 480,4;2 169,7;118 007,8;38 337,4
2019;abril;1 798,8;58.2;3.9;1.2;0;0;188 004,2;36 366,3;1 289,8;8.2;2 369,8;171.4;10 805,4;212.2;321 700,6;48 149,5;26 861,5;2 246,1;116 613,1;34 202,2
2019;mayo;1 893,8;80.4;6.9;1.4;0;0;218 218,6;46 545,3;1 342,4;8.3;2 428,9;101.7;11 249,2;215.1;340 036,5;63 030,3;28 188,2;2 842,9;118 607,0;36 380,1
2019;junio ;1 937,7;54.9;5.1;1.2;0;0;198 688,5;36 904,1;1 837,2;9.5;2 680,4;255.6;10 888,7;181;321 001,5;59 017,3;24 605,3;2 629,9;115 990,0;39 195,2
2019;julio ;2 530,9;84.3;5.9;1.4;0;0;203 320,8;33 393,9;1 661,1;9.7;2 410,9;166.1;10 902,0;187.5;313 444,4;47 991,6;24 303,8;2 433,8;106 926,1;29 330,4
2019;agosto;2 520,9;65.9;5.8;1.1;0;0;215 425,9;42 314,0;1 941,9;8.4;2 866,2;629.5;11 163,0;152.9;343 593,3;53 938,5;26 441,9;1 636,9;122 225,1;35 962,5
2019;septiembre ;2 339,2;108.6;6.5;1.6;0;0;203 781,5;43 931,2;1 648,0;12.4;2 536,7;403.4;10 673,4;166.9;331 047,7;56 628,0;27 818,9;2 407,3;119 124,5;33 897,6
2019;octubre ;2 595,1;67.8;13.3;0.7;0;0;204 138,8;31 292,8;2 013,5;9.4;2 617,3;186.5;10 561,2;153.6;338 161,2;51 169,3;26 677,5;1 890,5;131 693,8;45 223,0
2019;noviembre ;2 346,8;92.1;1.1;1;0;0;211 391,1;44 022,0;2 204,7;10.7;3 420,6;769.9;10 368,4;122.2;333 848,3;55 072,3;26 261,1;2 430,8;113 584,5;24 850,0
2019;diciembre;2 652,6;104.2;5.4;1.1;0;0;225 496,0;40 622,2;1 903,2;9.6;3 392,5;605.9;10 063,1;113.9;346 298,7;61 484,5;27 248,3;2 418,8;132 236,2;40 360,5
2020;enero;1 622,4;92.5;1.6;1.6;15.6;0;190 955,7;42 394,2;1 796,3;10.4;2 235,0;239.4;10 323 329,0;100 481,0;288 360,6;58 728,0;24 338,6;2 294,6;129 399,6;48 298,2
2020;febrero;2 121,2;83.8;1.6;1.5;11.8;0;169 826,0;30 450,5;1 504,9;11.5;2 493,6;733.4;9 375 325,3;94 183,7;275 712,5;46 653,0;23 707,8;2 312,8;115 620,4;38 588,7
2020;marzo;1 281,8;102.2;1.4;1.4;15;0;154 047,9;33 540,1;590.7;12.7;2 390,7;481.8;7 938 915,7;98 688,3;195 142,1;50 196,2;22 032,7;2 117,4;106 353,2;51 160,7
2020;abril;1 110,9;109.1;1.6;1.6;12.7;0;125 249,1;21 858,6;77.2;12.9;2 115,4;325.3;5 078 374,0;102 718,6;77 059,9;23 297,1;4 383,0;930.8;16 515,3;4 163,2
2020;mayo;591.9;94.2;2.2;2.2;14.1;0;128 411,8;67.7;732.9;-;2 389,9;113.3;4 070 012,4;1 361,2;105 506,3;17 353,6;8 772,4;1 979,2;29 325,3;505.1
2020;junio ;1 918,1;145.3;2.2;2.2;22.8;10;180 845,7;34 783,1;986.1;12.5;2 772,9;281.4;6 143 089,4;68 439,5;240 439,4;38 339,5;20 794,7;2 175,9;119 921,6;53 861,2
2020;julio ;1 595,8;113.4;11;1.4;15;8.8;198 840,2;41 426,1;72.4;11.7;3 174,2;533.9;6 081 165,1;64 011,0;206 484,6;42 273,5;20 634,8;1 893,3;112 947,5;38 298,9
2020;agosto;1 574,5;119.5;10.7;0.6;26.2;10.4;193 965,3;38 750,7;346.9;14;2 991,0;272.1;7 018 112,8;53 546,2;241 567,9;43 339,3;21 928,0;1 791,9;134 160,2;61 226,2
2020;septiembre ;1 729,2;158.3;15.2;0.8;14.1;12.7;171 916,8;31 812,2;1 329,5;15.9;2 808,8;34.1;7 197 464,6;42 364,7;266 755,0;48 336,5;23 748,0;2 842,8;133 839,7;52 079,2
2020;octubre ;2 044,2;155.1;12;0.7;31.2;14.7;207 214,5;43 269,9;963.7;18.4;2 857,1;212.5;7 843 158,3;41 799,7;265 487,2;62 894,1;22 613,1;2 546,0;142 740,6;60 439,6
2020;noviembre ;1 837,9;127.8;13.8;0.6;25.9;11.9;206 588,1;39 364,6;909.7;14.9;2 971,1;299;8 367 653,0;53 109,5;269 697,9;46 121,7;23 944,2;2 379,8;137 716,1;55 520,7
2020;diciembre;1 586,1;163.2;0.7;0.7;31.1;16.6;222 265,0;42 073,2;809.6;20.7;2 985,0;57.6;8 617 344,6;85 998,5;291 666,1;52 155,3;24 650,6;2 404,4;156 031,0;66 730,9
2021;enero;1 475,9;108.8;1.9;0.7;26.8;10.9;176 737,4;38 309,3;742.4;13.6;2 727,4;275.8;7 589,0;73.8;254 142,2;49 023,5;20 906,2;1 824,8;122 650,7;41 529,8
2021;febrero;1 763,4;102.6;0.8;0.7;23.1;9.7;171 590,5;38 925,2;1 020,9;11.2;2 476,2;221.1;7 069,6;101.3;269 859,7;47 462,9;21 768,5;2 291,3;134 109,2;55 233,3
2021;marzo;1 513,4;92.3;0.9;0.8;22.3;7.6;183 043,6;33 828,3;1 252,7;8.4;2 905,6;320.9;8 254,3;116.9;269 039,3;42 876,5;21 605,4;1 639,0;134 005,3;48 691,9
